Type,ID,Chen,Leo,Samuel & Chayan,,comment,data table,charting tool,chart source,Source Link,Notes,,,
Area Chart,14,TRUE,FALSE,FALSE,FALSE,,FALSE,,jaspersoft.com,https://www.jaspersoft.com/articles/what-is-an-area-chart,,,,
Area Chart,15,TRUE,FALSE,FALSE,FALSE,,FALSE,VictoryChart,patternfly.org,https://www.patternfly.org/charts/area-chart,,,,
Area Chart,16,TRUE,FALSE,FALSE,FALSE,,FALSE,GoogleChart,,https://developers.google.com/chart/interactive/docs/gallery/areachart,,,,
Area Chart,17,TRUE,FALSE,FALSE,FALSE,,FALSE,SvelteKit,,https://svelte.dev/examples/area-chart,,,,
Area Chart,18,TRUE,FALSE,FALSE,FALSE,,FALSE,HighChart,copyicon.com,https://copyicon.com/generator/svg-area-chart,,,,
Area Chart,19,TRUE,FALSE,FALSE,FALSE,,FALSE,,wikipedia.org,https://en.wikipedia.org/wiki/Area_chart#/media/File:US_and_USSR_nuclear_stockpiles.svg,,,,
Area Chart,20,TRUE,FALSE,FALSE,FALSE,,FALSE,HighChart,engie.design,https://www.engie.design/fluid-design-system/data-visualization/area-charts/,,,,
Area Chart,21,TRUE,FALSE,FALSE,FALSE,,FALSE,WowChart,,https://demo1.wow-extensions.com/WowChart-v3/area-basic,,,,
Area Chart,22,TRUE,FALSE,FALSE,FALSE,,FALSE,,svend3r.dev,https://svend3r.dev/charts/area,,,,
Area Chart,23,TRUE,FALSE,FALSE,FALSE,,FALSE,,svend3r.dev,https://svend3r.dev/charts/ridgeline,,,,
Area Chart,24,TRUE,FALSE,FALSE,FALSE,,FALSE,Lets-Plot,,https://aeturrell.github.io/coding-for-economists/vis-common-plots.html#id37,,,,
Area Chart,25,TRUE,FALSE,FALSE,FALSE,,FALSE,Lets-Plot,,https://aeturrell.github.io/coding-for-economists/vis-common-plots.html#lollipop,,,,
Area Chart,26,TRUE,FALSE,FALSE,FALSE,,FALSE,FlexChart,,https://developer.mescius.com/wijmo/demos/Chart/LineArea/BasicAreaChart/purejs,,,,
Area Chart,27,TRUE,FALSE,FALSE,FALSE,,FALSE,,urban.org,https://www.urban.org/features/11-charts-about-social-security-disability-insurance-program,,,,
Bar Chart,1,TRUE,TRUE,TRUE,FALSE,annotation: highest-value,FALSE,AnyChart,,https://playground.anychart.com/docs/v8/samples/BCT_Bar_Chart_03,,,,
Bar Chart,2,TRUE,TRUE,TRUE,FALSE,,FALSE,ApexCharts,,https://apexcharts.com/javascript-chart-demos/bar-charts/,,,,
Bar Chart,3,TRUE,TRUE,TRUE,FALSE,,FALSE,Vega Lite,,https://vega.github.io/vega-lite/examples/bar.html,,,,
Bar Chart,4,TRUE,TRUE,TRUE,FALSE,,FALSE,,poetrybetweenpain.deb.is,https://poetrybetweenpain.deb.is/images/charts/chrt-LiveDie.svg,,,,
Bar Chart,5,TRUE,TRUE,TRUE,FALSE,constraint: positive / negative bars of different colors,FALSE,D3.js,Observable.com,https://observablehq.com/@d3/diverging-bar-chart,,,,
Bar Chart,6,TRUE,TRUE,TRUE,FALSE,constraint: text affixed to bars,FALSE,Datylon,,https://insights.datylon.com/stories/nIWdVHXAxLrae7nECdRFFQ,,,,
Bar Chart,7,TRUE,TRUE,TRUE,FALSE,,FALSE,Diagrammm,,https://www.diagrammm.com/bar_chart,,,,
Bar Chart,8,TRUE,TRUE,TRUE,FALSE,,FALSE,,xari.dev,https://xari.dev/horizontal-bar-plot/,,,,
Bar Chart,9,TRUE,TRUE,TRUE,FALSE,,FALSE,Observable,,https://observablehq.com/@observablehq/plot-bar,,,,
Bar Chart,10,TRUE,TRUE,TRUE,FALSE,,FALSE,D3.js,gist.github.com,https://gist.github.com/tlfrd/187e45e0629711c4560cf6bcd0767b27,,,,
Bar Chart,11,FALSE,FALSE,TRUE,FALSE,,FALSE,R,people.ohio.edu,https://people.ohio.edu/ruhil/statsbook/dataviz.html,,,,
Bar Chart,12,FALSE,FALSE,TRUE,FALSE,,FALSE,R,people.ohio.edu,https://people.ohio.edu/ruhil/statsbook/dataviz.html,,,,
Bar Chart,13,FALSE,FALSE,TRUE,FALSE,,FALSE,,jaspersoft.com,https://www.jaspersoft.com/articles/what-is-a-bar-chart,,,,
Bar Chart,14,FALSE,FALSE,TRUE,FALSE,,FALSE,Evidence ,,https://docs.evidence.dev/components/all-components/,,,,
Bar Chart,15,FALSE,FALSE,TRUE,FALSE,"axis cannot be labeled, multi text select",FALSE,R,online.stat.psu.edu,https://online.stat.psu.edu/stat504/lesson/1/1.2,,,,
Bar Chart,16,FALSE,FALSE,TRUE,FALSE,,FALSE,Evidence ,,https://docs.evidence.dev/components/all-components/,,,,
Bar Chart,17,FALSE,FALSE,TRUE,FALSE,,FALSE,,wikipedia.org,https://commons.wikimedia.org/wiki/File:Charts_SVG_Example_9_-_Emphasized_Bar_Chart.svg,,,,
Bar Chart,18,FALSE,FALSE,TRUE,FALSE,axis cannot be labeled/can't determine what is axis 1 or 2 in marks,FALSE,,thirdspacelearning.com,https://thirdspacelearning.com/gcse-maths/statistics/frequency-graph/,,,,
Bar Chart,19,FALSE,FALSE,TRUE,FALSE,,FALSE,Plotly,,https://plotly.com/python/bar-charts/#colored-bars,,,,
Bar Chart,20,FALSE,FALSE,TRUE,FALSE,,FALSE,,gov.uk,https://www.gov.uk/government/statistics/rural-enterprise/rural-business-statistics,,,,
Bar Chart,21,FALSE,FALSE,TRUE,FALSE,,FALSE,ApexCharts,,https://apexcharts.com/javascript-chart-demos/bar-charts/bar-with-markers/,,,,
Bar Chart,22,FALSE,FALSE,TRUE,FALSE,,FALSE,,ourworldindata.org,https://ourworldindata.org/grapher/gini-coefficient-world-bank-marimekko,,,,
Bar Chart,23,FALSE,FALSE,TRUE,FALSE,,FALSE,WowChart,,https://demo1.wow-extensions.com/WowChart-v3/column-drilldown,,,,
Bar Chart,24,FALSE,FALSE,TRUE,FALSE,,FALSE,Lets-Plot,,https://aeturrell.github.io/python4DS/exploratory-data-analysis.html,,,,
Bar Chart,25,FALSE,FALSE,TRUE,FALSE,cannot get legend title,FALSE,Kandy,,https://kotlin.github.io/kandy/kandy/guideHistogramConfiguredHistPlot.svg,,,,
Bar Chart,26,FALSE,FALSE,FALSE,FALSE,,FALSE,,ourworldindata.org,https://ourworldindata.org/grapher/estimated-prevalence-vs-burden-mental-illnesses,,,,
Bar Chart,27,FALSE,FALSE,TRUE,FALSE,,FALSE,,ourworldindata.org,https://ourworldindata.org/grapher/burden-of-disease-by-cause,,,,
Bar Chart,28,FALSE,FALSE,FALSE,FALSE,,FALSE,,ourworldindata.org,https://ourworldindata.org/grapher/share-plastic-fate,,,,
Bar Chart,29,FALSE,FALSE,FALSE,FALSE,,FALSE,,ourworldindata.org,https://ourworldindata.org/grapher/autumn-temperature-anomalies,,,,
Bar Chart,30,FALSE,FALSE,TRUE,FALSE,chart is small,FALSE,R,,https://smltar.com/04_stemming_files/figure-html/lemmafirtree-1.svg,,,,
Bar Chart,31,FALSE,FALSE,TRUE,FALSE,,FALSE,,urban.org,https://www.urban.org/features/11-charts-about-social-security-disability-insurance-program,,,,
Bar Chart,32,FALSE,FALSE,FALSE,FALSE,,FALSE,,nitrocdn.com,https://cdn-dfnaj.nitrocdn.com/xxeFXDnBIOflfPsgwjDLywIQwPChAOzV/assets/images/source/rev-630e2e6/www.displayr.com/wp-content/uploads/2022/08/Histogram_Maker_Displayr_Flexible.svg,,,,
Bar Chart in Radial Layout,1,TRUE,TRUE,TRUE,FALSE,Question: marks noted as rectangle; channel still x if grid polar?,FALSE,Matplotlib,agill.xyz,https://agill.xyz/research/haiku/analysis/colors,,,,
Bar Chart in Radial Layout,2,TRUE,TRUE,TRUE,FALSE,,FALSE,D3.js,,https://observablehq.com/@d3/radial-stacked-bar-chart,,,,
Bar Chart in Radial Layout,3,TRUE,TRUE,TRUE,FALSE,,FALSE,D3.js,,https://observablehq.com/@s0rta/radial-bar-chart-proof-of-conecpt,,,,
Bar Chart in Radial Layout,4,TRUE,TRUE,TRUE,FALSE,ISSUE: <use>s are hard to assgin,FALSE,,www.predicthq.com,https://www.predicthq.com/blog/ldi-july22,,,,
Bar Chart in Radial Layout,5,TRUE,TRUE,TRUE,FALSE,inner text; has links,FALSE,,www.commerce.ai,https://www.commerce.ai/2022-report-register,,,,
Bar Chart in Radial Layout,6,TRUE,TRUE,TRUE,FALSE,,FALSE,D3.js,,https://observablehq.com/@instancia/radial-stacked-bar-chart,,,,
Bar Chart in Radial Layout,7,TRUE,TRUE,TRUE,FALSE,,FALSE,D3.js,,https://observablehq.com/@kclosu/radial-stacked-bar-chart,,,,
Bar Chart in Radial Layout,8,TRUE,TRUE,TRUE,FALSE,,FALSE,,datavizcatalogue.com,https://datavizcatalogue.com/methods/radial_column_chart.html,,,,
Bar Chart in Radial Layout,9,TRUE,TRUE,TRUE,FALSE,,FALSE,D3.js,,https://observablehq.com/@paulyiu/radial-stacked-bar-chart/2,,,,
Bar Chart in Radial Layout,10,TRUE,TRUE,TRUE,FALSE,ISSUE: <use>s are hard to assgin,FALSE,,datavizcatalogue.com,https://datavizcatalogue.com/methods/radial_column_chart.html,,,,
Bar Chart in Radial Layout,11,FALSE,FALSE,TRUE,FALSE,,FALSE,,svend3r.dev,https://svend3r.dev/charts/radialStacked,,,,
Bar Chart in Radial Layout,12,FALSE,FALSE,TRUE,FALSE,,FALSE,D3.js,,https://observablehq.com/@nobodyzxc/radial-stacked-bar-chart,,,,
Bar Chart in Radial Layout,13,FALSE,FALSE,FALSE,FALSE,,FALSE,D3.js,,https://observablehq.com/@kukovisuals/radial-stacked-bar-chart,,,,
Bar Chart in Radial Layout,14,FALSE,FALSE,FALSE,FALSE,Really difficult to see main chart marks,FALSE,D3.js,,https://observablehq.com/@monicawoj/spice-blends-the-power-of-proportions,,,,
Bar Chart in Radial Layout,15,FALSE,FALSE,TRUE,FALSE,,FALSE,D3.js,,https://observablehq.com/@summerone123/radial-stacked-bar-chart,,,,
Bar Chart in Radial Layout,16,FALSE,FALSE,TRUE,FALSE,,FALSE,D3.js,,https://observablehq.com/@miaxmzhu/radial-stacked-bar-chart,,,,
Bar Chart in Radial Layout,17,FALSE,FALSE,TRUE,FALSE,,FALSE,D3.js,,https://observablehq.com/@cristiancs/millones-de-visualizaciones-por-episodio,,,,
Bar Chart in Radial Layout,18,FALSE,FALSE,TRUE,FALSE,,FALSE,D3.js,,https://observablehq.com/@monicagg/uk-raindays-radial-stacked-bar-chart,,,,
Bar Chart in Radial Layout,19,FALSE,FALSE,TRUE,FALSE,,FALSE,D3.js,,https://observablehq.com/@yieldtactics/radial-stacked-bar-chart,,,,
Bar Chart in Radial Layout,20,FALSE,FALSE,TRUE,FALSE,,FALSE,D3.js,,https://observablehq.com/@thetylerwolf/day-17-radial-bar-chart,,,,
Box-and-whisker plot,1,TRUE,TRUE,FALSE,FALSE,TBD: customized marks that are hard to annotate; agree,FALSE,nagwa,nagwa.com,https://www.nagwa.com/en/explainers/812192146073/,,,,
Box-and-whisker plot,2,TRUE,TRUE,FALSE,FALSE,TBD: customized marks that are hard to annotate; agree,FALSE,ApexCharts,ApexCharts,https://apexcharts.com/wp-content/uploads/2021/02/basic-boxplot.svg,,,,
Box-and-whisker plot,3,TRUE,TRUE,FALSE,FALSE,,FALSE,,www.khanacademy.org,https://www.khanacademy.org/math/statistics-probability/summarizing-quantitative-data/box-whisker-plots/a/box-plot-review,,,,
Box-and-whisker plot,4,TRUE,TRUE,FALSE,FALSE,,FALSE,,https://www.codecademy.com/,https://www.codecademy.com/learn/stats-associations-between-variables/modules/stats-associations-between-variables/cheatsheet,,,,
Box-and-whisker plot,5,TRUE,TRUE,FALSE,FALSE,TBD: customized marks that are hard to annotate; agree,FALSE,ApexCharts,,https://apexcharts.com/wp-content/uploads/2021/02/horizontal-boxplot.svg,,,,
Box-and-whisker plot,6,TRUE,TRUE,FALSE,FALSE,,FALSE,Racket Plot,alex-hhh.github.io,https://alex-hhh.github.io/2021/04/box-and-whiskers-plot.html,,,,
Box-and-whisker plot,7,TRUE,TRUE,FALSE,FALSE,TBD: need to support encodings applied to a certain mark in each group,FALSE,D3.js,,https://observablehq.com/@d3/box-plot,,,,
Box-and-whisker plot,8,TRUE,TRUE,FALSE,FALSE,,FALSE,D3.js,,https://observablehq.com/@mukhtyar/box-plot,,,,
Box-and-whisker plot,9,TRUE,TRUE,FALSE,FALSE,,FALSE,Vega Lite,,https://vega.github.io/vega-lite/examples/boxplot_minmax_2D_vertical.html,,,,
Box-and-whisker plot,10,TRUE,TRUE,FALSE,FALSE,,FALSE,Data Illustrator,,https://data-illustrator.cs.umd.edu/app/index.html?project=few_box_plot,,,,
Box-and-whisker plot,11,TRUE,TRUE,FALSE,FALSE,,FALSE,R,bookdown.org,https://bookdown.org/max/FES/stroke-exploration.html,,,,
Box-and-whisker plot,12,TRUE,FALSE,FALSE,FALSE,,FALSE,,ixl.com/,https://www.ixl.com/math/lessons/box-and-whisker-plots,,,,
Box-and-whisker plot,13,TRUE,FALSE,FALSE,FALSE,,FALSE,,wikipedia.org,https://en.wikipedia.org/wiki/Box_plot,,,,
Box-and-whisker plot,14,TRUE,FALSE,FALSE,FALSE,,FALSE,,jaspersoft.com,https://www.jaspersoft.com/articles/what-is-a-box-plot,,,,
Box-and-whisker plot,15,TRUE,FALSE,FALSE,FALSE,,FALSE,,mathleaks.com,https://mathleaks.com/study/big-ideas-math-algebra-1-2015/11-box-and-whisker-plots/596-4,,,,
Box-and-whisker plot,16,TRUE,FALSE,FALSE,FALSE,,FALSE,Jamovi,readthedocs.io,https://lsj.readthedocs.io/no/latest/Ch05/Ch05_Graphics_2.html,,,,
Box-and-whisker plot,17,TRUE,FALSE,FALSE,FALSE,,FALSE,ApexCharts,,https://apexcharts.com/docs/chart-types/boxplot/,,,,
Box-and-whisker plot,18,TRUE,FALSE,FALSE,FALSE,,FALSE,,baeldung.com,https://www.baeldung.com/cs/latex-draw-charts,,,,
Box-and-whisker plot,19,TRUE,FALSE,FALSE,FALSE,,FALSE,,wikipedia.org,https://commons.wikimedia.org/wiki/File:Boxplot_of_Average_Article_Feedback_ratings_by_project_rated_quality.svg,,,,
Box-and-whisker plot,20,TRUE,FALSE,FALSE,FALSE,,FALSE,,uni-marburg.de,https://ilias.uni-marburg.de/data/UNIMR/lm_data/lm_2092231/box-and-whisker-plots-lattice.html,,,,
Box-and-whisker plot,21,TRUE,FALSE,FALSE,FALSE,,FALSE,NIVO,,https://nivo.rocks/storybook/?path=/story/boxplot--basic,,,,
Box-and-whisker plot,22,TRUE,FALSE,FALSE,FALSE,,FALSE,NIVO,,https://nivo.rocks/storybook/?path=/story/boxplot--grouped-horizontal,,,,
Box-and-whisker plot,23,TRUE,FALSE,FALSE,FALSE,,FALSE,FlexChart,,https://developer.mescius.com/wijmo/demos/Chart/Special/BoxWhisker,,,,
Box-and-whisker plot,24,TRUE,FALSE,FALSE,FALSE,,FALSE,R,,https://smltar.com/02_tokenization_files/figure-html/tokendists-1.svg,,,,
Box-and-whisker plot,25,TRUE,FALSE,FALSE,FALSE,,FALSE,Semiotic,,https://semiotic.nteract.io/guides/ordinal-summaries,,,,
Bubble Chart,1,TRUE,TRUE,FALSE,FALSE,,FALSE,Datylon,,https://insights.datylon.com/stories/qS11V4CyLM1etV1Q925FOg,,,,
Bubble Chart,2,TRUE,TRUE,FALSE,FALSE,,FALSE,Datylon,,https://insights.datylon.com/stories/jVPwg1Q_CeguvLAxY4VJKw,,,,
Bubble Chart,3,TRUE,TRUE,FALSE,FALSE,,FALSE,ApexCharts,,https://apexcharts.com/javascript-chart-demos/bubble-charts/simple/,,,,
Bubble Chart,4,TRUE,TRUE,FALSE,FALSE,,FALSE,HighCharts,,https://www.highcharts.com/demo/highcharts/bubble,,,,
Bubble Chart,5,TRUE,TRUE,FALSE,FALSE,,FALSE,Datylon,,https://insights.datylon.com/stories/jZ9edVDAp0wT6rQzn5FDng,,,,
Bubble Chart,6,TRUE,TRUE,FALSE,FALSE,,FALSE,Mascot.js,,https://mascot-vis.github.io/gallery#BubblePlot,,,,
Bubble Chart,7,TRUE,TRUE,FALSE,FALSE,TBD: dual legend?,FALSE,Datylon,,https://insights.datylon.com/stories/n3Bf_ByGdHpYCHoEQw5EUw,,,,
Bubble Chart,8,TRUE,TRUE,FALSE,FALSE,,FALSE,Vega Lite,,https://vega.github.io/vega-lite/examples/point_bubble.html,,,,
Bubble Chart,9,TRUE,TRUE,FALSE,FALSE,,FALSE,Vega Lite,,https://vega.github.io/vega-lite/examples/circle_bubble_health_income.html,,,,
Bubble Chart,10,TRUE,TRUE,FALSE,FALSE,,FALSE,Vega Lite,,https://vega.github.io/vega-lite/examples/circle_natural_disasters.html,,,,
Bubble Chart,11,TRUE,TRUE,FALSE,FALSE,,FALSE,ZingChart,,https://www.zingchart.com/gallery/world-countries-by-adjusted-net-national-income-and-fertility-rate,,,,
Bubble Chart,12,TRUE,TRUE,FALSE,FALSE,size-reference,FALSE,GoogleChart,,https://developers.google.com/chart/interactive/docs/gallery/bubblechart,,,,
Bubble Chart,13,TRUE,FALSE,FALSE,FALSE,,FALSE,,jaspersoft.com,https://www.jaspersoft.com/articles/what-is-a-bubble-chart,,,,
Bubble Chart,14,TRUE,FALSE,FALSE,FALSE,,FALSE,Diagrammm,,https://diagrammm.com/bubble_chart,,,,
Bubble Chart,15,TRUE,FALSE,FALSE,FALSE,,FALSE,,spotfire.com,https://www.spotfire.com/glossary/what-is-a-bubble-chart,,,,
Bubble Chart,16,TRUE,FALSE,FALSE,TRUE,,FALSE,Diagrammm,,https://diagrammm.com/bubble_chart,,,,
Bubble Chart,17,TRUE,FALSE,FALSE,FALSE,,FALSE,Plotly,,https://plotly-r.com/images/cartogram-dorling.svg,,,,
Bubble Chart,18,TRUE,FALSE,FALSE,FALSE,,FALSE,,emsys1.com,https://emsys1.com/newschool/Electricity,,,,
Bubble Chart,19,TRUE,FALSE,FALSE,FALSE,,FALSE,,dnnsoftware.com,https://store.dnnsoftware.com/wow-chart-graph-line-spline-area-area-spline-column-bar-polar-pie-goal-org-chart,,,,
Bubble Chart,20,TRUE,FALSE,FALSE,FALSE,,FALSE,,grunt.pro,https://www.grunt.pro/product/charts,,,,
Bubble Chart,21,TRUE,FALSE,FALSE,FALSE,,FALSE,,itransition.com,https://www.itransition.com/blog/big-data-visualization,,,,
Bubble Chart,22,TRUE,FALSE,FALSE,FALSE,,FALSE,Lets-Plot,,https://aeturrell.github.io/coding-for-economists/vis-letsplot.html,,,,
Bubble Chart,23,TRUE,FALSE,FALSE,FALSE,,FALSE,Plotly,,https://aeturrell.github.io/coding-for-economists/vis-common-plots.html#bubble-plot,,,,
Bubble Chart,24,TRUE,FALSE,FALSE,FALSE,bubble-map,FALSE,ObservablePlot,,https://observablehq.com/plot/marks/dot,,,,
Bullet Chart,1,TRUE,TRUE,TRUE,FALSE,need alignment constraints for marks within a glyph,FALSE,Mascot.js,,https://mascot-vis.github.io/gallery.html#BulletChart,,,,
Bullet Chart,2,TRUE,TRUE,TRUE,FALSE,text annotation constraints,FALSE,OKVIZ,,https://okviz.com/bullet-chart/,,,,
Bullet Chart,3,TRUE,TRUE,TRUE,FALSE,,FALSE,,www.ibm.com,https://www.ibm.com/design/language/data-visualization/charts/,,,,
Bullet Chart,4,TRUE,TRUE,TRUE,FALSE,,FALSE,,vis.zone,https://vis.zone/graph/bullet-graph/,,,,
Bullet Chart,5,TRUE,TRUE,TRUE,FALSE,,FALSE,,datavizcatalogue.com,https://datavizcatalogue.com/methods/bullet_graph.html,,,,
Bullet Chart,6,TRUE,TRUE,TRUE,FALSE,,FALSE,FusionCharts,,https://www.fusioncharts.com/charts,,,,
Bullet Chart,7,TRUE,TRUE,TRUE,FALSE,,FALSE,FusionCharts,,https://www.fusioncharts.com/charts/bullet-graphs/horizontal-bullet-graph?framework=javascript,,,,
Bullet Chart,8,TRUE,TRUE,TRUE,FALSE,,FALSE,Datylon,,https://insights.datylon.com/stories/pdRiJv2a9qTzq2esUDJPDQ,,,,
Bullet Chart,9,TRUE,TRUE,TRUE,FALSE,,FALSE,Datylon,,https://insights.datylon.com/stories/sUH1REVrdrPZhjXbIOJABA,,,,
Bullet Chart,10,TRUE,TRUE,TRUE,FALSE,,FALSE,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Labelled_Bullet_Graph_Example.svg,,,,
Bullet Chart,11,FALSE,FALSE,FALSE,FALSE,,FALSE,,synergycodes.com,https://synergycodes.com/blog/top-types-of-charts-graphs-for-expert-data-visualization/,,,,
Bullet Chart,12,FALSE,FALSE,TRUE,FALSE,,FALSE,NIVO,,https://nivo.rocks/storybook/?path=/story/bullet--basic,,,,
Bullet Chart,13,FALSE,FALSE,TRUE,FALSE,,FALSE,VictoryChart,patternfly.org,https://www.patternfly.org/charts/bullet-chart/,,,,
Bullet Chart,14,FALSE,FALSE,TRUE,FALSE,,FALSE,VictoryChart,patternfly.org,https://www.patternfly.org/charts/bullet-chart/,,,,
Bullet Chart,15,FALSE,FALSE,TRUE,FALSE,,FALSE,VictoryChart,patternfly.org,https://www.patternfly.org/charts/bullet-chart/,,,,
Bullet Chart,16,FALSE,FALSE,TRUE,FALSE,,FALSE,VictoryChart,patternfly.org,https://www.patternfly.org/charts/bullet-chart/,,,,
Bullet Chart,17,FALSE,FALSE,TRUE,FALSE,,FALSE,D3.js,dimplejs.org,http://dimplejs.org/advanced_examples_viewer.html?id=advanced_bullet,,,,
Bullet Chart,18,FALSE,FALSE,TRUE,FALSE,,FALSE,Vega Lite,,https://vega.github.io/vega-lite/examples/facet_bullet.html,,,,
Bullet Chart,19,FALSE,FALSE,TRUE,FALSE,,FALSE,GoogleChart,,https://developers.google.com/chart/interactive/docs/gallery/diffchart,,,,
Bullet Chart,20,FALSE,FALSE,TRUE,FALSE,,FALSE,Datylon,,https://insights.datylon.com/stories/n3LpdeCC2T5hMVHgK_JGHA,,,,
Bullet Chart,21,FALSE,FALSE,TRUE,FALSE,,FALSE,AngularChart,,https://www.telerik.com/kendo-angular-ui/components/charts/series-types/bullet/,,,,
Bump Chart,1,TRUE,TRUE,FALSE,FALSE,,FALSE,Data Illustrator,,https://data-illustrator.cs.umd.edu/app/index.html?project=new_car_colors,,,,
Bump Chart,2,TRUE,TRUE,FALSE,FALSE,,FALSE,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Canada_Historical_Population_Bump_Chart_no_signature.svg,,,,
Bump Chart,3,TRUE,TRUE,FALSE,FALSE,area-bump,FALSE,Rawgraphs,placeless.net,https://placeless.net/blog/rawgraphs-intro,,,,
Bump Chart,4,TRUE,TRUE,FALSE,FALSE,,FALSE,D3.js,,https://observablehq.com/@analyzer2004/bump-chart,,,,
Bump Chart,5,TRUE,TRUE,FALSE,FALSE,,FALSE,ObservablePlot,,https://observablehq.com/@fil/bump-chart,,,,
Bump Chart,6,TRUE,TRUE,FALSE,FALSE,,FALSE,Vega Lite,,https://vega.github.io/vega-lite/examples/line_bump.html,,,,
Bump Chart,7,TRUE,TRUE,FALSE,FALSE,,FALSE,Datylon,,https://insights.datylon.com/stories/s6O9Mt4Za_2Per9-911JKQ,,,,
Bump Chart,8,TRUE,TRUE,FALSE,FALSE,area-bump,FALSE,,www.digitalmethods.net,https://www.digitalmethods.net/Dmi/WinterSchool2017BeyondTheBubbleEmotions,,,,
Bump Chart,9,TRUE,TRUE,FALSE,FALSE,,FALSE,NIVO,,https://nivo.rocks/bump/,,,,
Bump Chart,10,TRUE,TRUE,FALSE,FALSE,,FALSE,JSCharting,,https://jscharting.com/examples/chart-types/line/bump/,,,,
Bump Chart,11,TRUE,TRUE,FALSE,FALSE,area-bump,FALSE,,lilljegren.com,https://lilljegren.com/,,,,
Bump Chart,12,TRUE,FALSE,FALSE,FALSE,,FALSE,,wikimedia.org,https://commons.wikimedia.org/wiki/File:2022%E2%80%9323_EPL_bump_chart.svg,,,,
Bump Chart,13,TRUE,FALSE,FALSE,FALSE,,FALSE,,hssailing.org,https://scores.hssailing.org/s24/rhode-island-state-championships/,,,,
Bump Chart,14,TRUE,FALSE,FALSE,FALSE,,FALSE,,hssailing.org,https://scores.hssailing.org/s24/friday-night-lights/,,,,
Bump Chart,15,TRUE,FALSE,FALSE,FALSE,,FALSE,NIVO,,https://nivo.rocks/storybook/?path=/story/bump--custom-points,,,,
Bump Chart,16,TRUE,FALSE,FALSE,FALSE,,FALSE,Vega Lite,,https://altair-viz.github.io/altair-viz-v4/gallery/bump_chart.html,,,,
Bump Chart,17,TRUE,FALSE,FALSE,FALSE,area-bump,FALSE,NIVO,,https://nivo.rocks/area-bump/,,,,
Bump Chart,18,TRUE,FALSE,FALSE,FALSE,,FALSE,D3.js,,https://observablehq.com/@washpostgraphics/bump-chart-of-state-population-ranks,,,,
Bump Chart,19,TRUE,FALSE,FALSE,FALSE,,FALSE,,q-researchsoftware.com,https://wiki.q-researchsoftware.com/wiki/Visualization_-_Exotic_-_Bump,,,,
Bump Chart,20,TRUE,FALSE,FALSE,FALSE,area-bump,FALSE,,github.com,https://gist.github.com/ezevischi/a3e33ea5c56168db4d4c3114ef84fede#file-index-html,,,,
Bump Chart,21,TRUE,FALSE,FALSE,FALSE,,FALSE,D3.js,,https://observablehq.com/@fil/bump-chart,,,,
Calendar,1,TRUE,FALSE,TRUE,FALSE,TBD: multiple axes + too many rectangles,FALSE,Vega ,,https://vega.github.io/vega/examples/calendar-view/,,,,
Calendar,2,TRUE,TRUE,TRUE,FALSE,,FALSE,ZingChart,,https://www.zingchart.com/docs/chart-types/calendar,,,,
